"Attack_rate","Target_doses","Dose_split","PD2","Boost_interval","Dose2_rel_boost","Vacc_waning","Delivery"
4e-04,0.05,0,0.85,70,0.6,360,2
4e-04,0.05,0,0.85,70,0.65,360,2
4e-04,0.05,0,0.85,70,0.7,360,2
4e-04,0.05,0,0.85,70,0.75,360,2
4e-04,0.05,0,0.85,70,0.8,360,2
4e-04,0.05,0,0.85,70,0.85,360,2
4e-04,0.05,0,0.85,70,0.9,360,2
4e-04,0.05,0,0.85,70,0.95,360,2
4e-04,0.05,0,0.85,70,1,360,2
4e-04,0.05,0,0.85,77,0.5,360,2
4e-04,0.05,0,0.85,77,0.55,360,2
4e-04,0.05,0,0.85,77,0.6,360,2
4e-04,0.05,0,0.85,77,0.65,360,2
4e-04,0.05,0,0.85,77,0.7,360,2
4e-04,0.05,0,0.85,77,0.75,360,2
4e-04,0.05,0,0.85,77,0.8,360,2
4e-04,0.05,0,0.85,77,0.85,360,2
4e-04,0.05,0,0.85,77,0.9,360,2
4e-04,0.05,0,0.85,77,0.95,360,2
4e-04,0.05,0,0.85,77,1,360,2
4e-04,0.05,0,0.85,84,0.5,360,2
4e-04,0.05,0,0.85,84,0.55,360,2
4e-04,0.05,0,0.85,84,0.6,360,2
4e-04,0.05,0,0.85,84,0.65,360,2
4e-04,0.05,0,0.85,84,0.7,360,2
4e-04,0.05,0,0.85,84,0.75,360,2
4e-04,0.05,0,0.85,84,0.8,360,2
4e-04,0.05,0,0.85,84,0.85,360,2
4e-04,0.05,0,0.85,84,0.9,360,2
4e-04,0.05,0,0.85,84,0.95,360,2
4e-04,0.05,0,0.85,84,1,360,2
4e-04,0.05,0,0.9,28,0.5,360,2
4e-04,0.05,0,0.9,28,0.55,360,2
4e-04,0.05,0,0.9,28,0.6,360,2
4e-04,0.05,0,0.9,28,0.65,360,2
4e-04,0.05,0,0.9,28,0.7,360,2
4e-04,0.05,0,0.9,28,0.75,360,2
4e-04,0.05,0,0.9,28,0.8,360,2
4e-04,0.05,0,0.9,28,0.85,360,2
4e-04,0.05,0,0.9,28,0.9,360,2
4e-04,0.05,0,0.9,28,0.95,360,2
4e-04,0.05,0,0.9,28,1,360,2
4e-04,0.05,0,0.9,35,0.5,360,2
4e-04,0.05,0,0.9,35,0.55,360,2
4e-04,0.05,0,0.9,35,0.6,360,2
4e-04,0.05,0,0.9,35,0.65,360,2
4e-04,0.05,0,0.9,35,0.7,360,2
4e-04,0.05,0,0.9,35,0.75,360,2
4e-04,0.05,0,0.9,35,0.8,360,2
4e-04,0.05,0,0.9,35,0.85,360,2
4e-04,0.05,0,0.9,35,0.9,360,2
4e-04,0.05,0,0.9,35,0.95,360,2
4e-04,0.05,0,0.9,35,1,360,2
4e-04,0.05,0,0.9,42,0.5,360,2
4e-04,0.05,0,0.9,42,0.55,360,2
4e-04,0.05,0,0.9,42,0.6,360,2
4e-04,0.05,0,0.9,42,0.65,360,2
4e-04,0.05,0,0.9,42,0.7,360,2
4e-04,0.05,0,0.9,42,0.75,360,2
4e-04,0.05,0,0.9,42,0.8,360,2
4e-04,0.05,0,0.9,42,0.85,360,2
4e-04,0.05,0,0.9,42,0.9,360,2
4e-04,0.05,0,0.9,42,0.95,360,2
4e-04,0.05,0,0.9,42,1,360,2
4e-04,0.05,0,0.9,49,0.5,360,2
4e-04,0.05,0,0.9,49,0.55,360,2
4e-04,0.05,0,0.9,49,0.6,360,2
4e-04,0.05,0,0.9,49,0.65,360,2
4e-04,0.05,0,0.9,49,0.7,360,2
4e-04,0.05,0,0.9,49,0.75,360,2
4e-04,0.05,0,0.9,49,0.8,360,2
4e-04,0.05,0,0.9,49,0.85,360,2
4e-04,0.05,0,0.9,49,0.9,360,2
4e-04,0.05,0,0.9,49,0.95,360,2
4e-04,0.05,0,0.9,49,1,360,2
4e-04,0.05,0,0.9,56,0.5,360,2
4e-04,0.05,0,0.9,56,0.55,360,2
4e-04,0.05,0,0.9,56,0.6,360,2
4e-04,0.05,0,0.9,56,0.65,360,2
4e-04,0.05,0,0.9,56,0.7,360,2
4e-04,0.05,0,0.9,56,0.75,360,2
4e-04,0.05,0,0.9,56,0.8,360,2
4e-04,0.05,0,0.9,56,0.85,360,2
4e-04,0.05,0,0.9,56,0.9,360,2
4e-04,0.05,0,0.9,56,0.95,360,2
4e-04,0.05,0,0.9,56,1,360,2
4e-04,0.05,0,0.9,63,0.5,360,2
4e-04,0.05,0,0.9,63,0.55,360,2
4e-04,0.05,0,0.9,63,0.6,360,2
4e-04,0.05,0,0.9,63,0.65,360,2
4e-04,0.05,0,0.9,63,0.7,360,2
4e-04,0.05,0,0.9,63,0.75,360,2
4e-04,0.05,0,0.9,63,0.8,360,2
4e-04,0.05,0,0.9,63,0.85,360,2
4e-04,0.05,0,0.9,63,0.9,360,2
4e-04,0.05,0,0.9,63,0.95,360,2
4e-04,0.05,0,0.9,63,1,360,2
4e-04,0.05,0,0.9,70,0.5,360,2
4e-04,0.05,0,0.9,70,0.55,360,2
4e-04,0.05,0,0.9,70,0.6,360,2
4e-04,0.05,0,0.9,70,0.65,360,2
4e-04,0.05,0,0.9,70,0.7,360,2
4e-04,0.05,0,0.9,70,0.75,360,2
4e-04,0.05,0,0.9,70,0.8,360,2
4e-04,0.05,0,0.9,70,0.85,360,2
4e-04,0.05,0,0.9,70,0.9,360,2
4e-04,0.05,0,0.9,70,0.95,360,2
4e-04,0.05,0,0.9,70,1,360,2
4e-04,0.05,0,0.9,77,0.5,360,2
4e-04,0.05,0,0.9,77,0.55,360,2
4e-04,0.05,0,0.9,77,0.6,360,2
4e-04,0.05,0,0.9,77,0.65,360,2
4e-04,0.05,0,0.9,77,0.7,360,2
4e-04,0.05,0,0.9,77,0.75,360,2
4e-04,0.05,0,0.9,77,0.8,360,2
4e-04,0.05,0,0.9,77,0.85,360,2
4e-04,0.05,0,0.9,77,0.9,360,2
4e-04,0.05,0,0.9,77,0.95,360,2
4e-04,0.05,0,0.9,77,1,360,2
4e-04,0.05,0,0.9,84,0.5,360,2
4e-04,0.05,0,0.9,84,0.55,360,2
4e-04,0.05,0,0.9,84,0.6,360,2
4e-04,0.05,0,0.9,84,0.65,360,2
4e-04,0.05,0,0.9,84,0.7,360,2
4e-04,0.05,0,0.9,84,0.75,360,2
4e-04,0.05,0,0.9,84,0.8,360,2
4e-04,0.05,0,0.9,84,0.85,360,2
4e-04,0.05,0,0.9,84,0.9,360,2
4e-04,0.05,0,0.9,84,0.95,360,2
4e-04,0.05,0,0.9,84,1,360,2
4e-04,0.07,1,0.6,28,0.5,360,2
4e-04,0.07,1,0.6,28,0.55,360,2
4e-04,0.07,1,0.6,28,0.6,360,2
4e-04,0.07,1,0.6,28,0.65,360,2
4e-04,0.07,1,0.6,28,0.7,360,2
4e-04,0.07,1,0.6,28,0.75,360,2
4e-04,0.07,1,0.6,28,0.8,360,2
4e-04,0.07,1,0.6,28,0.85,360,2
4e-04,0.07,1,0.6,28,0.9,360,2
4e-04,0.07,1,0.6,28,0.95,360,2
4e-04,0.07,1,0.6,28,1,360,2
4e-04,0.07,1,0.6,35,0.5,360,2
4e-04,0.07,1,0.6,35,0.55,360,2
4e-04,0.07,1,0.6,35,0.6,360,2
4e-04,0.07,1,0.6,35,0.65,360,2
4e-04,0.07,1,0.6,35,0.7,360,2
4e-04,0.07,1,0.6,35,0.75,360,2
4e-04,0.07,1,0.6,35,0.8,360,2
4e-04,0.07,1,0.6,35,0.85,360,2
4e-04,0.07,1,0.6,35,0.9,360,2
4e-04,0.07,1,0.6,35,0.95,360,2
4e-04,0.07,1,0.6,35,1,360,2
4e-04,0.07,1,0.6,42,0.5,360,2
4e-04,0.07,1,0.6,42,0.55,360,2
4e-04,0.07,1,0.6,42,0.6,360,2
4e-04,0.07,1,0.6,42,0.65,360,2
4e-04,0.07,1,0.6,42,0.7,360,2
4e-04,0.07,1,0.6,42,0.75,360,2
4e-04,0.07,1,0.6,42,0.8,360,2
4e-04,0.07,1,0.6,42,0.85,360,2
4e-04,0.07,1,0.6,42,0.9,360,2
4e-04,0.07,1,0.6,42,0.95,360,2
4e-04,0.07,1,0.6,42,1,360,2
4e-04,0.07,1,0.6,49,0.5,360,2
4e-04,0.07,1,0.6,49,0.55,360,2
4e-04,0.07,1,0.6,49,0.6,360,2
4e-04,0.07,1,0.6,49,0.65,360,2
4e-04,0.07,1,0.6,49,0.7,360,2
4e-04,0.07,1,0.6,49,0.75,360,2
4e-04,0.07,1,0.6,49,0.8,360,2
4e-04,0.07,1,0.6,49,0.85,360,2
4e-04,0.07,1,0.6,49,0.9,360,2
4e-04,0.07,1,0.6,49,0.95,360,2
4e-04,0.07,1,0.6,49,1,360,2
4e-04,0.07,1,0.6,56,0.5,360,2
4e-04,0.07,1,0.6,56,0.55,360,2
4e-04,0.07,1,0.6,56,0.6,360,2
4e-04,0.07,1,0.6,56,0.65,360,2
4e-04,0.07,1,0.6,56,0.7,360,2
4e-04,0.07,1,0.6,56,0.75,360,2
4e-04,0.07,1,0.6,56,0.8,360,2
4e-04,0.07,1,0.6,56,0.85,360,2
4e-04,0.07,1,0.6,56,0.9,360,2
4e-04,0.07,1,0.6,56,0.95,360,2
4e-04,0.07,1,0.6,56,1,360,2
4e-04,0.07,1,0.6,63,0.5,360,2
4e-04,0.07,1,0.6,63,0.55,360,2
4e-04,0.07,1,0.6,63,0.6,360,2
4e-04,0.07,1,0.6,63,0.65,360,2
4e-04,0.07,1,0.6,63,0.7,360,2
4e-04,0.07,1,0.6,63,0.75,360,2
4e-04,0.07,1,0.6,63,0.8,360,2
4e-04,0.07,1,0.6,63,0.85,360,2
4e-04,0.07,1,0.6,63,0.9,360,2
4e-04,0.07,1,0.6,63,0.95,360,2
4e-04,0.07,1,0.6,63,1,360,2
4e-04,0.07,1,0.6,70,0.5,360,2
4e-04,0.07,1,0.6,70,0.55,360,2
4e-04,0.07,1,0.6,70,0.6,360,2
4e-04,0.07,1,0.6,70,0.65,360,2
4e-04,0.07,1,0.6,70,0.7,360,2
4e-04,0.07,1,0.6,70,0.75,360,2
4e-04,0.07,1,0.6,70,0.8,360,2
4e-04,0.07,1,0.6,70,0.85,360,2
4e-04,0.07,1,0.6,70,0.9,360,2
4e-04,0.07,1,0.6,70,0.95,360,2
4e-04,0.07,1,0.6,70,1,360,2
4e-04,0.07,1,0.6,77,0.5,360,2
4e-04,0.07,1,0.6,77,0.55,360,2
4e-04,0.07,1,0.6,77,0.6,360,2
4e-04,0.07,1,0.6,77,0.65,360,2
4e-04,0.07,1,0.6,77,0.7,360,2
4e-04,0.07,1,0.6,77,0.75,360,2
4e-04,0.07,1,0.6,77,0.8,360,2
4e-04,0.07,1,0.6,77,0.85,360,2
4e-04,0.07,1,0.6,77,0.9,360,2
4e-04,0.07,1,0.6,77,0.95,360,2
4e-04,0.07,1,0.6,77,1,360,2
4e-04,0.07,1,0.6,84,0.5,360,2
4e-04,0.07,1,0.6,84,0.55,360,2
4e-04,0.07,1,0.6,84,0.6,360,2
4e-04,0.07,1,0.6,84,0.65,360,2
4e-04,0.07,1,0.6,84,0.7,360,2
4e-04,0.07,1,0.6,84,0.75,360,2
4e-04,0.07,1,0.6,84,0.8,360,2
4e-04,0.07,1,0.6,84,0.85,360,2
4e-04,0.07,1,0.6,84,0.9,360,2
4e-04,0.07,1,0.6,84,0.95,360,2
4e-04,0.07,1,0.6,84,1,360,2
4e-04,0.07,1,0.65,28,0.5,360,2
4e-04,0.07,1,0.65,28,0.55,360,2
4e-04,0.07,1,0.65,28,0.6,360,2
4e-04,0.07,1,0.65,28,0.65,360,2
4e-04,0.07,1,0.65,28,0.7,360,2
4e-04,0.07,1,0.65,28,0.75,360,2
4e-04,0.07,1,0.65,28,0.8,360,2
4e-04,0.07,1,0.65,28,0.85,360,2
4e-04,0.07,1,0.65,28,0.9,360,2
4e-04,0.07,1,0.65,28,0.95,360,2
4e-04,0.07,1,0.65,28,1,360,2
4e-04,0.07,1,0.65,35,0.5,360,2
4e-04,0.07,1,0.65,35,0.55,360,2
4e-04,0.07,1,0.65,35,0.6,360,2
4e-04,0.07,1,0.65,35,0.65,360,2
4e-04,0.07,1,0.65,35,0.7,360,2
4e-04,0.07,1,0.65,35,0.75,360,2
4e-04,0.07,1,0.65,35,0.8,360,2
4e-04,0.07,1,0.65,35,0.85,360,2
4e-04,0.07,1,0.65,35,0.9,360,2
4e-04,0.07,1,0.65,35,0.95,360,2
4e-04,0.07,1,0.65,35,1,360,2
4e-04,0.07,1,0.65,42,0.5,360,2
4e-04,0.07,1,0.65,42,0.55,360,2
4e-04,0.07,1,0.65,42,0.6,360,2
4e-04,0.07,1,0.65,42,0.65,360,2
4e-04,0.07,1,0.65,42,0.7,360,2
4e-04,0.07,1,0.65,42,0.75,360,2
4e-04,0.07,1,0.65,42,0.8,360,2
4e-04,0.07,1,0.65,42,0.85,360,2
